time	position
0	0
0.01	8
0.02	27
0.03	43
0.04	57
0.05	73
0.06	95
0.07	123
0.08	152
0.09	184
0.1	221
0.11	262
0.12	307
0.13	352
0.14	401
0.15	453
0.16	507
0.17	561
0.18	616
0.19	671
0.2	727
0.21	784
0.22	840
0.23	898
0.24	956
0.25	1015
0.26	1062
0.27	1080
0.28	1071
0.29	1045
0.3	1011
0.31	973
0.32	952
0.33	955
0.34	976
0.35	1003
0.36	1028
0.37	1038
0.38	1026
0.39	1002
0.4	979
0.41	966
0.42	974
0.43	994
0.44	1015
0.45	1028
0.46	1024
0.47	1009
0.48	992
0.49	980
0.5	977
0.51	984
0.52	996
0.53	1005
0.54	1011
0.55	1012
0.56	1012
0.57	1011
0.58	1009
0.59	1008
0.6	1007
0.61	1007
0.62	1007
0.63	1007
0.64	1007
0.65	1007
0.66	1007
0.67	1007
0.68	1007
0.69	1007
0.7	1007
0.71	1007
0.72	1007
0.73	1007
0.74	1007
0.75	1007
0.76	1007
0.77	1007
0.78	1007
0.79	1007
0.8	1007
0.81	1007
0.82	1007
0.83	1007
0.84	1007
0.85	1007
0.86	1007
0.87	1007
0.88	1007
0.89	1007
0.9	1007
0.91	1007
0.92	1007
0.93	1007
0.94	1007
0.95	1007
0.96	1007
0.97	1007
0.98	1007
0.99	1007
1	1007
1.01	1007
1.02	1007
1.03	1007
1.04	1007
1.05	1007
1.06	1007
1.07	1007
1.08	1007
1.09	1007
1.1	1007
1.11	1007
1.12	1007
1.13	1007
1.14	1007
1.15	1007
1.16	1007
1.17	1007
1.18	1007
1.19	1007
1.2	1007
1.21	1007
1.22	1007
1.23	1007
1.24	1007
1.25	1007
1.26	1007
1.27	1007
1.28	1007
1.29	1007
1.3	1007
1.31	1007
1.32	1007
1.33	1007
1.34	1007
1.35	1007
1.36	1007
1.37	1007
1.38	1007
1.39	1007
1.4	1007
1.41	1007
1.42	1007
1.43	1007
1.44	1007
1.45	1007
1.46	1007
1.47	1007
1.48	1007
1.49	1007
1.5	1007
1.51	1007
1.52	1007
1.53	1007
1.54	1007
1.55	1007
1.56	1007
1.57	1007
1.58	1007
1.59	1007
1.6	1007
1.61	1007
1.62	1007
1.63	1007
1.64	1007
1.65	1007
1.66	1007
1.67	1007
1.68	1007
1.69	1007
1.7	1007
1.71	1007
1.72	1007
1.73	1007
1.74	1007
1.75	1007
1.76	1007
1.77	1007
1.78	1007
1.79	1007
1.8	1007
1.81	1007
1.82	1007
1.83	1007
1.84	1007
1.85	1007
1.86	1007
1.87	1007
1.88	1007
1.89	1007
1.9	1007
1.91	1007
1.92	1007
1.93	1007
1.94	1007
1.95	1007
1.96	1007
1.97	1007
1.98	1007
1.99	1007
2	1007
2.01	1016
2.02	1040
2.03	1074
2.04	1116
2.05	1162
2.06	1212
2.07	1264
2.08	1318
2.09	1374
2.1	1431
2.11	1488
2.12	1546
2.13	1603
2.14	1660
2.15	1718
2.16	1776
2.17	1833
2.18	1892
2.19	1951
2.2	2010
2.21	2059
2.22	2080
2.23	2075
2.24	2052
2.25	2019
2.26	1982
2.27	1956
2.28	1954
2.29	1972
2.3	2000
2.31	2028
2.32	2040
2.33	2030
2.34	2006
2.35	1980
2.36	1965
2.37	1972
2.38	1992
2.39	2015
2.4	2028
2.41	2027
2.42	2012
2.43	1994
2.44	1980
2.45	1976
2.46	1983
2.47	1995
2.48	2006
2.49	2013
2.5	2016
2.51	2012
2.52	2007
2.53	2002
2.54	2000
2.55	1999
2.56	1999
2.57	1999
2.58	1999
2.59	1999
2.6	1999
2.61	1999
2.62	1999
2.63	1999
2.64	1999
2.65	1999
2.66	1999
2.67	1999
2.68	1999
2.69	1999
2.7	1999
2.71	1999
2.72	1999
2.73	1999
2.74	1999
2.75	1999
2.76	1999
2.77	1999
2.78	1999
2.79	1999
2.8	1999
2.81	1999
2.82	1999
2.83	1999
2.84	1999
2.85	1999
2.86	1999
2.87	1999
2.88	1999
2.89	1999
2.9	1999
2.91	1999
2.92	1999
2.93	1999
2.94	1999
2.95	1999
2.96	1999
2.97	1999
2.98	1999
2.99	1999
3	1999
3.01	1999
3.02	1999
3.03	1999
3.04	1999
3.05	1999
3.06	1999
3.07	1999
3.08	1999
3.09	1999
3.1	1999
3.11	1999
3.12	1999
3.13	1999
3.14	1999
3.15	1999
3.16	1999
3.17	1999
3.18	1999
3.19	1999
3.2	1999
3.21	1999
3.22	1999
3.23	1999
3.24	1999
3.25	1999
3.26	1999
3.27	1999
3.28	1999
3.29	1999
3.3	1999
3.31	1999
3.32	1999
3.33	1999
3.34	1999
3.35	1999
3.36	1999
3.37	1999
3.38	1999
3.39	1999
3.4	1999
3.41	1999
3.42	1999
3.43	1999
3.44	1999
3.45	1999
3.46	1999
3.47	1999
3.48	1999
3.49	1999
3.5	1999
3.51	1999
3.52	1999
3.53	1999
3.54	1999
3.55	1999
3.56	1999
3.57	1999
3.58	1999
3.59	1999
3.6	1999
3.61	1999
3.62	1999
3.63	1999
3.64	1999
3.65	1999
3.66	1999
3.67	1999
3.68	1999
3.69	1999
3.7	1999
3.71	1999
3.72	1999
3.73	1999
3.74	1999
3.75	1999
3.76	1999
3.77	1999
3.78	1999
3.79	1999
3.8	1999
3.81	1999
3.82	1999
3.83	1999
3.84	1999
3.85	1999
3.86	1999
3.87	1999
3.88	1999
3.89	1999
3.9	1999
3.91	1999
3.92	1999
3.93	1999
3.94	1999
3.95	1999
3.96	1999
3.97	1999
3.98	1999
3.99	1999
