c000001,c000002,c000003,c000004
0,6.04,0,0
0.015,6.08,0,0
0.03,6.05,0,0
0.0438282772,6.0640802383,1.4643000364,0
0.0478950163,6.2809801102,1.3983000517,0
0.0518458751,6.2914400101,1.3691999912,0
0.0557364761,6.3780198097,1.321199894,0
0.0561129218,6.4018497467,1.2893000841,0
0.0601899246,6.3954401016,1.2444000244,0
0.0640881406,6.4295797348,1.2663999796,0
0.0644410791,6.4442100525,1.2254999876,0
0.0684210735,6.4419798851,1.255300045,0
0.0724434471,6.409239769,1.2746999264,0
0.0763254398,6.4283304214,1.2731000185,0
0.0766833446,6.3927598,1.2970000505,0
0.0807404822,6.362159729,1.3173999786,0
0.0847075643,6.3522896767,1.334100008,0
0.088585915,6.3533096313,1.3431999683,0
0.0889477929,6.3159198761,1.3731999397,0
0.0929893695,6.3255300522,1.3759000301,0
0.0969243361,6.3155398369,1.386300087,0
0.0972802544,6.311560154,1.3368000984,0
0.1011860853,6.3284196854,1.342599988,0
0.1052266686,6.3086800575,1.3665999174,0
0.1091209116,6.3366599083,1.3359000683,0
0.1094755055,6.3394799232,1.3166999817,0
0.1134733786,6.3507599831,1.3485000134,0
0.1174901237,6.3392500877,1.333599925,0
0.121386022,6.3546600342,1.3199000359,0
0.1217435958,6.3726496696,1.3082000017,0
0.1257848413,6.3817300797,1.3164999485,0
0.1297198079,6.3584599495,1.3084000349,0
0.1336488149,6.3626799583,1.3063000441,0
0.1340106928,6.3929800987,1.3165999651,0
0.1380429989,6.3767900467,1.2958000898,0
0.141957107,6.3700399399,1.2915999889,0
0.1423150119,6.387840271,1.2940000296,0
0.1462552759,6.3975000381,1.2811000347,0
0.1502690411,6.4009799957,1.2875000238,0
0.1541795073,6.3734898567,1.2811000347,0
0.1545350945,6.3994898796,1.2935999632,0
0.1585170755,6.4114999771,1.2795000076,0
0.1625172662,6.4222297668,1.2710000277,0
0.1663992589,6.4239897728,1.2784000635,0
0.1667588192,6.4162802696,1.2639000416,0
0.1708235718,6.3978500366,1.241699934,0
0.1747472814,6.4247403145,1.2380000353,0
0.1786633761,6.4557995796,1.2495999336,0
0.1790762413,6.4496798515,1.2324000597,0
0.1830588844,6.4703202248,1.2279000282,0
0.1869749791,6.4861197472,1.2026000023,0
0.1873308974,6.4629096985,1.2000999451,0
0.1913102296,6.4705500603,1.175999999,0
0.1953418736,6.5179600716,1.1599000692,0
0.1993361047,6.4782099724,1.1838999987,0
0.1997003002,6.4701900482,1.2156000137,0
0.2036544699,6.4290699959,1.2404000759,0
0.2075358004,6.4206800461,1.2610999346,0
0.2115075177,6.3703899384,1.320800066,0
0.2119031664,6.3457398415,1.326300025,0
0.2158973975,6.3632297516,1.3147000074,0
0.2198138233,6.3712797165,1.2928999662,0
0.2236762819,6.3749399185,1.2949000597,0
0.2240553762,6.3895101547,1.2869999409,0
0.2281572106,6.382589817,1.2984000444,0
0.2320786026,6.3667502403,1.3073000908,0
0.2324381629,6.3784103394,1.3033000231,0
0.2363754471,6.3669700623,1.2990999222,0
0.2403362385,6.3750500679,1.3265999556,0
0.2442496845,6.3597502708,1.3373000622,0
0.2446079204,6.3417301178,1.363699913,0
0.2486743285,6.283249855,1.4058001041,0
0.2526573026,6.2269301414,1.4756999016,0
0.2565065178,6.1905303001,1.497199893,0
0.2568611117,6.1751403809,1.5101000071,0
0.260943412,6.174849987,1.5098999739,0
0.2648442766,6.1790699959,1.5099999905,0
0.2687789121,6.1792798042,1.5055999756,0
0.2691616485,6.1865997314,1.5080000162,0
0.2732313674,6.1749901772,1.5110999346,0
0.2771001167,6.1711697578,1.5134999752,0
0.2774543795,6.1753802299,1.5085999966,0
0.281396299,6.1751203537,1.5119999647,0
0.285416686,6.1789598465,1.5091999769,0
0.2893145709,6.1749100685,1.508300066,0
0.2896724757,6.1787900925,1.5111999512,0
0.2937445122,6.1791200638,1.5090999603,0
0.2976831208,6.1788897514,1.5070999861,0
0.3015942491,6.1865897179,1.500199914,0
0.3019501675,6.1859197617,1.5033999681,0
0.3060023388,6.1822500229,1.5036998987,0
0.3099214132,6.1828098297,1.5033000708,0
0.3102958724,6.1822099686,1.5024000406,0
0.314169588,7.1222400665,0.0013,0
0.3182515571,7.4881100655,0.001,0
0.3221183198,7.4881000519,0.0011,0
0.3224752314,7.492120266,0.0009,0
0.3264638341,7.488120079,0.0014,0
0.3304530989,7.4881000519,0.001,0
0.3343536325,7.4881000519,0.0011,0
0.3347108751,7.4921002388,0.0007,0
0.3387835739,7.4881000519,0.0009,0
0.3425344562,7.4881000519,0.001,0
