c000001,c000002,c000003,c000004,c000005,c000006,c000007
0,0.7122604847,0.2559673488,0.3925197721,0.5120336413,0.0093835331,0.3279368877
0.040371731,0.7122604847,0.2559673488,0.3925197721,0.5120336413,0.0093835331,0.3279368877
0.0404733747,0.7122580409,0.2559619546,0.3925209343,0.5120283961,0.0093559464,0.3279395103
0.040539592,0.7122566104,0.2559664249,0.3925193846,0.5120325685,0.0093705282,0.3279356956
0.0406024985,0.712258637,0.2559630871,0.392523706,0.5120328069,0.0093684066,0.3279374838
0.0406634185,0.7122600675,0.2559682727,0.3925227523,0.5120311975,0.0093849944,0.3279341459
0.0407246695,0.7122582197,0.2559675872,0.3925235868,0.5120316148,0.0093779908,0.3279338777
0.0407842652,0.712262392,0.2559678257,0.3925236166,0.5120324492,0.0093723023,0.3279363215
0.0408438608,0.7122603059,0.2559649944,0.3925238848,0.5120322108,0.0093661817,0.3279386461
0.0409031253,0.7122576237,0.2559660077,0.3925233781,0.5120345354,0.0093732867,0.3279382885
0.0409620588,0.7122553587,0.2559606433,0.3925234973,0.5120324492,0.0093757613,0.3279387057
0.0410209922,0.7122587562,0.2559725344,0.3925176859,0.5120326877,0.0093759233,0.3279367983
0.0410802568,0.7122582197,0.2559652627,0.3925195038,0.5120307803,0.0093786614,0.3279369473
0.0411388591,0.712256968,0.2559674978,0.3925188184,0.5120324492,0.0093674371,0.3279374838
0.0411991169,0.7122580409,0.2559693754,0.3925214708,0.5120292306,0.0093667228,0.3279383183
0.0412573882,0.712259233,0.2559681237,0.3925217092,0.5120328069,0.0093707899,0.3279400468
0.0413159906,0.7122585177,0.2559672594,0.3925220668,0.5120326281,0.0093601458,0.3279411495
0.0413739308,0.7122604847,0.255969733,0.3925186992,0.5120279193,0.0093711326,0.3279410601
0.041432202,0.712258935,0.2559611797,0.39251858,0.5120303631,0.0093831047,0.3279331028
0.0414904733,0.7122588158,0.2559697628,0.3925200999,0.5120282769,0.0093787517,0.327938199
0.0415487446,0.7122588754,0.2559661567,0.3925186992,0.5120321512,0.0093660448,0.3279384077
0.0416070159,0.7122582197,0.2559653223,0.3925210238,0.5120278001,0.0093590375,0.3279364407
0.0416649561,0.7122595906,0.2559627891,0.3925191462,0.5120310783,0.0093668625,0.3279352188
0.0417232273,0.7122573256,0.2559688985,0.3925185204,0.5120307803,0.0093889525,0.3279304802
0.0417811675,0.7122570276,0.2559660673,0.3925177753,0.5120307207,0.0093857609,0.327932924
0.0418394388,0.7122560143,0.2559635341,0.3925181627,0.5120328665,0.0093786949,0.3279319704
0.041897379,0.7122570872,0.2559654117,0.3925180435,0.5120281577,0.0093749259,0.3279383779
0.0420135905,0.712258935,0.2559708059,0.3925206065,0.5120313764,0.0093679242,0.3279406726
0.042084443,0.7122607231,0.2559693754,0.3925197124,0.5120323896,0.0093696443,0.3279376328
0.0421473495,0.7122594714,0.2559662759,0.3925170898,0.5120315552,0.0093627209,0.3279396296
0.0422148912,0.7122563124,0.2559671104,0.3925191462,0.5120293498,0.009367655,0.3279332519
0.0422764734,0.7122609019,0.2559685409,0.3925196826,0.5120308995,0.0093709109,0.3279357553
0.042336069,0.7122597694,0.2559636235,0.3925207257,0.5120276809,0.0093692476,0.3279416561
0.0425098896,0.7122588158,0.2559669912,0.3925170302,0.5120265484,0.0093631763,0.3279364705
0.0426330539,0.7122586966,0.2559660673,0.3925138116,0.5120264292,0.0093564577,0.3279425204
0.042721454,0.7122603059,0.255956471,0.3925185204,0.5120298862,0.0093781538,0.3279350698
0.0427946242,0.7122579813,0.2559648454,0.3925176263,0.5120302439,0.0093780439,0.3279329538
0.0428909705,0.7122570276,0.2559690177,0.3925144672,0.5120300055,0.0093671763,0.3279387057
0.0429571878,0.7122599483,0.2559627295,0.3925165236,0.5120310783,0.0093611758,0.3279374242
0.0430191011,0.7122594118,0.2559674084,0.3925150931,0.5120336413,0.0093592349,0.3279401362
0.0430796899,0.7122581005,0.2559642792,0.3925163448,0.5120310783,0.0093682557,0.3279364407
0.0431396167,0.7122586966,0.2559655905,0.3925187886,0.5120334625,0.009372822,0.32793957
0.0432031853,0.712256372,0.2559699714,0.3925118446,0.5120296478,0.0093868775,0.3279305696
0.0433104574,0.7122584581,0.25595963,0.3925222456,0.5120311379,0.009366055,0.3279351294
0.0433733639,0.7122583389,0.255961895,0.3925167918,0.5120270252,0.0093739023,0.3279374838
0.0434528248,0.7122601867,0.2559668422,0.3925147057,0.5120283961,0.009380646,0.3279357851
0.043514738,0.7122557759,0.2559684515,0.3925179243,0.5120331049,0.0093775466,0.3279338777
0.0435865838,0.7122575045,0.255966723,0.392516017,0.5120306015,0.0093773063,0.3279331028
0.0436501525,0.7122601271,0.2559660375,0.3925186098,0.512031436,0.0093576061,0.3279413283
0.0437107414,0.7122596502,0.2559657395,0.3925136328,0.5120289326,0.0093768844,0.3279345036
0.0437700059,0.7122617364,0.255962193,0.3925162554,0.5120314956,0.0093827546,0.3279332817
0.0438292705,0.7122613192,0.2559635639,0.3925164938,0.5120359659,0.0093620289,0.3279400468
0.043888535,0.7122594118,0.2559649348,0.3925120234,0.5120288134,0.0093741613,0.3279390037
0.0439468063,0.7122581005,0.2559626997,0.3925138116,0.5120330453,0.0093627591,0.3279394209
0.0440060708,0.712264061,0.2559637129,0.3925157785,0.5120310783,0.0093750777,0.3279369473
0.0440653353,0.7122596502,0.2559669316,0.3925144076,0.5120306611,0.0093596717,0.3279381394
0.0441245999,0.7122586966,0.2559621632,0.3925118446,0.5120311379,0.0093707144,0.3279390633
0.0441835333,0.7122589946,0.2559695542,0.3925143182,0.5120344758,0.0093775364,0.3279339969
0.0442441222,0.7122581601,0.2559626997,0.392516166,0.5120328069,0.0093721738,0.3279357255
0.0443030557,0.7122572064,0.255964756,0.3925147355,0.5120332241,0.0093683051,0.3279356658
0.0443619891,0.7122555971,0.2559694946,0.3925109804,0.5120341778,0.0093794856,0.327935338
0.0444212537,0.7122580409,0.2559695542,0.3925125003,0.5120337605,0.0093727037,0.327938199
0.0444801871,0.7122561932,0.2559716702,0.392509073,0.5120326281,0.0093540652,0.3279402256
0.0445394516,0.7122616768,0.2559686303,0.3925133049,0.5120295286,0.0093726115,0.3279388249
0.0445987162,0.7122585773,0.2559618652,0.3925132155,0.5120298266,0.009362652,0.3279373646
0.0446576496,0.712258935,0.2559603453,0.3925125897,0.5120317936,0.0093799569,0.3279335797
0.0447165831,0.7122591138,0.2559610307,0.3925112784,0.5120325089,0.0093776695,0.3279369175
0.0447755165,0.7122600079,0.2559638619,0.3925138116,0.512029767,0.0093870135,0.3279319108
0.04483445,0.7122600675,0.2559690475,0.3925114274,0.5120350122,0.0093652988,0.3279365003
0.0448927213,0.7122588158,0.2559634745,0.3925119638,0.5120357871,0.0093851937,0.3279333711
0.0449516547,0.7122588754,0.2559646368,0.3925102949,0.5120279789,0.0093523134,0.3279386759
