Column 1,c000002
-5.50637e-12,0.3
0.0033323886,0.3
0.0070157293,0.3
0.0097183908,0.3
0.0123760245,0.3
0.015059152,0.3
0.0179498708,0.3
0.020613133,0.3
0.02334791,0.3
0.0260833491,0.3
0.0288763973,0.3
0.0315118483,0.3
0.0341701442,0.3
0.0368731368,0.3
0.0397522676,0.3
0.0425373698,0.32
0.0453592225,0.34
0.0481552506,0.36
0.0508264589,0.4
0.0535986486,0.42
0.0564883742,0.96
0.0592668546,1.06
0.0621430057,1.14
0.064997636,1.12
0.0677969749,0.66
0.0706112127,0.68
0.0733079147,0.7
0.0761675114,0.72
0.0789791005,0.72
0.0817473172,0.74
0.0845969813,0.72
0.0874857136,0.72
0.0901661923,0.7
0.0929354023,0.7
0.0957764581,0.68
0.0986151963,0.68
0.1013738116,0.66
0.1041870561,0.64
0.1069135559,0.62
0.1096480018,0.62
0.1124860778,0.62
0.1151622524,0.6
0.1179155702,0.6
0.1207165645,0.58
0.1235642421,0.58
0.126268228,0.56
0.1291337842,0.56
0.131871541,0.56
0.1346351225,0.54
0.1374821379,0.54
0.1402318137,0.54
0.1429748679,0.52
0.1457159355,0.52
0.1485344774,0.52
0.1513007076,0.52
0.1540361467,0.5
0.1567421191,0.5
0.1594904707,0.5
0.1622278963,0.5
0.16491599,0.5
0.1692677949,0.48
0.1721065331,0.48
0.1748436277,0.46
0.1776121755,0.46
0.1807525338,0.44
0.1842888719,0.42
0.1877632968,0.42
0.1914963004,0.4
0.1942668348,0.38
0.1970572343,0.38
0.1998039304,0.36
0.2030108371,0.34
0.2067587397,0.32
0.2094839151,0.3
0.2122117393,0.3
0.2149514825,0.3
0.2177508214,0.3
0.2204627534,0.3
0.2232508353,0.32
0.2261160605,0.32
0.2289144061,0.34
0.2316981839,0.34
0.2344856037,0.34
0.237267395,0.34
0.2402971703,0.34
0.243061745,0.32
0.2458501581,0.28
0.2486435374,0.26
0.2514865797,0.24
0.2543441899,0.24
0.2571574344,0.22
0.2598647312,0.2
0.2627266455,0.18
0.2655402211,0.16
0.2683163839,0.16
0.2710571204,0.14
0.273878311,0.12
0.2766706971,0.12
0.2793942171,0.1
0.2821193925,0.1
0.2848733725,0.1
0.287644238,0.08
0.2904687394,0.08
0.2931896108,0.08
0.2960280179,0.06
0.2987674301,0.06
0.3015601472,0.06
0.30436677,0.06
0.3071088309,0.04
0.3098767165,0.04
0.312689961,0.04
0.3154853269,0.04
0.3182154686,0.04
0.3210482473,0.02
0.3237416384,0.02
0.326509193,0.02
0.3293449514,0.02
0.3320572144,0.02
0.3367036866,0.02
0.3395093161,0.02
0.3423089861,0.02
0.3450993856,0.02
0.348003679,0.02
0.3515055841,0.02
0.3548091682,0
0.3581637396,0
0.3607561493,0
0.3632998891,0
0.3658668051,0
0.3693713589,0
0.3719422479,0
0.3744952582,0
0.3770224437,0
0.3797519233,0
0.3823039403,0
0.3847976861,0
0.3872705734,0
0.390225192,0
0.3927851551,0
0.3953782269,0
0.3979292507,0
0.4005067614,0
0.4030670557,0
0.4056144375,0
0.4079995868,0
0.4104685011,0
0.4129797944,0
0.4154821485,0
0.4179927797,0
0.420507715,0
