time,moment arm,Moment Arm (m),gear ratio,RPM,height,Jump Height (m)
2.817993,4,0.04,25,1200,31.42577,0.3142577
6.542191,4,0.04,37.5,800,48.91679,0.4891679
10.43436,4,0.04,50,600,55.9991,0.559991
14.11629,4,0.04,62.5,480,49.31724,0.4931724
17.49497,4,0.04,75,400,39.21638,0.3921638
20.62598,4,0.04,87.5,342.85714286,31.56653,0.3156653
23.55869,4,0.04,100,300,25.84305,0.2584305
23.66759,4,0.04,112.5,266.66666667,-8.000068,-0.08000068
23.76878,4,0.04,125,240,-8.000574,-0.08000574
23.87494,4,0.04,137.5,218.18181818,-8.000794,-0.08000794
23.9782,4,0.04,150,200,-8.000297,-0.08000297
24.08339,4,0.04,162.5,184.61538462,-8.001131,-0.08001131
27.29989,5,0.05,25,1200,28.43251,0.2843251
30.98521,5,0.05,37.5,800,45.28378,0.4528378
50.66943,5,0.05,50,600,53.95388,0.5395388
54.42709,5,0.05,62.5,480,49.21947,0.4921947
57.93118,5,0.05,75,400,41.00032,0.4100032
61.16424,5,0.05,87.5,342.85714286,33.6204,0.336204
64.20296,5,0.05,100,300,27.81939,0.2781939
64.30799,5,0.05,112.5,266.66666667,-10.00044,-0.1000044
64.41308,5,0.05,125,240,-10.00005,-0.1000005
64.51875,5,0.05,137.5,218.18181818,-10.0009,-0.100009
64.62402,5,0.05,150,200,-10.00107,-0.1000107
64.72723,5,0.05,162.5,184.61538462,-10.00026,-0.1000026
67.92255,6,0.06,25,1200,24.77753,0.2477753
149.7508,6,0.06,37.5,800,40.11242,0.4011242
153.6024,6,0.06,50,600,49.9013,0.499013
157.3503,6,0.06,62.5,480,46.86465,0.4686465
160.8738,6,0.06,75,400,40.30388,0.4030388
164.1809,6,0.06,87.5,342.85714286,33.66095,0.3366095
164.285,6,0.06,100,300,-11.99978,-0.1199978
164.3931,6,0.06,112.5,266.66666667,-12.00012,-0.1200012
164.4996,6,0.06,125,240,-11.99979,-0.1199979
164.6067,6,0.06,137.5,218.18181818,-12.00062,-0.1200062
164.7123,6,0.06,150,200,-12.00081,-0.1200081
164.8158,6,0.06,162.5,184.61538462,-12.00097,-0.1200097
167.9678,7,0.07,25,1200,20.73899,0.2073899
171.4886,7,0.07,37.5,800,34.54033,0.3454033
175.2593,7,0.07,50,600,44.69371,0.4469371
179.0171,7,0.07,62.5,480,45.77757,0.4577757
182.5861,7,0.07,75,400,39.92487,0.3992487
796.759,7,0.07,87.5,342.85714286,33.38715,0.3338715
796.8616,7,0.07,100,300,-13.99908,-0.1399908
796.9646,7,0.07,112.5,266.66666667,-13.99949,-0.1399949
797.0682,7,0.07,125,240,-13.99943,-0.1399943
797.1732,7,0.07,137.5,218.18181818,-14.00009,-0.1400009
797.2753,7,0.07,150,200,-14.00032,-0.1400032
797.3768,7,0.07,162.5,184.61538462,-13.99978,-0.1399978
800.5071,8,0.08,25,1200,17.01596,0.1701596
803.9393,8,0.08,37.5,800,29.57508,0.2957508
807.6307,8,0.08,50,600,39.89243,0.3989243
811.4063,8,0.08,62.5,480,43.7458,0.437458
815.0609,8,0.08,75,400,40.58938,0.4058938
36234.77,8,0.08,87.5,342.85714286,33.93931,0.3393931
36234.87,8,0.08,100,300,-15.99848,-0.1599848
36234.97,8,0.08,112.5,266.66666667,-15.99863,-0.1599863
36235.07,8,0.08,125,240,-15.99903,-0.1599903
36235.18,8,0.08,137.5,218.18181818,-15.99916,-0.1599916
36235.27,8,0.08,150,200,-15.99966,-0.1599966
36235.39,8,0.08,162.5,184.61538462,-15.9999,-0.159999
36238.39,9,0.09,25,1200,13.52627,0.1352627
36241.69,9,0.09,37.5,800,25.8541,0.258541
36245.22,9,0.09,50,600,35.56825,0.3556825
36248.87,9,0.09,62.5,480,40.96538,0.4096538
36252.41,9,0.09,75,400,39.86903,0.3986903
36255.79,9,0.09,87.5,342.85714286,35.02232,0.3502232
36259.02,9,0.09,100,300,28.71743,0.2871743
36259.13,9,0.09,112.5,266.66666667,-17.99759,-0.1799759
36259.22,9,0.09,125,240,-17.99846,-0.1799846
36259.32,9,0.09,137.5,218.18181818,-17.99851,-0.1799851
36259.41,9,0.09,150,200,-17.99886,-0.1799886
36259.51,9,0.09,162.5,184.61538462,-17.99904,-0.1799904
36262.5,10,0.1,25,1200,10.42332,0.1042332
36265.79,10,0.1,37.5,800,22.42732,0.2242732
36269.27,10,0.1,50,600,32.08661,0.3208661
36272.88,10,0.1,62.5,480,37.98275,0.3798275
36276.5,10,0.1,75,400,39.24168,0.3924168
36280,10,0.1,87.5,342.85714286,36.14976,0.3614976
36283.33,10,0.1,100,300,30.98844,0.3098844
36283.43,10,0.1,112.5,266.66666667,-19.9964,-0.199964
36283.52,10,0.1,125,240,-19.99701,-0.1999701
