time,moment arm,Moment Arm (m),gear ratio,RPM,height,Jump Height (m)
0.1055756,3,0.03,1,100,-0.8208275,-0.008208275
0.3685608,3,0.03,2,200,8.451989,0.08451989
0.6851196,3,0.03,3,300,19.03084,0.1903084
1.045364,3,0.03,4,400,27.98471,0.2798471
1.40696,3,0.03,5,500,33.482,0.33482
1.801521,3,0.03,6,600,33.40987,0.3340987
2.212708,3,0.03,7,700,31.35478,0.3135478
2.576233,3,0.03,8,800,28.17979,0.2817979
2.923607,3,0.03,9,900,25.33134,0.2533134
3.257431,3,0.03,10,1000,22.40491,0.2240491
3.5895,3,0.03,11,1100,20.10916,0.2010916
3.904022,3,0.03,12,1200,17.83573,0.1783573
4.118759,4,0.04,1,100,-0.24577,-0.0024577
4.403503,4,0.04,2,200,10.32472,0.1032472
4.75489,4,0.04,3,300,22.76765,0.2276765
5.135895,4,0.04,4,400,34.60435,0.3460435
5.524712,4,0.04,5,500,36.87157,0.3687157
5.928383,4,0.04,6,600,32.25279,0.3225279
6.28653,4,0.04,7,700,26.94043,0.2694043
6.634979,4,0.04,8,800,22.47238,0.2247238
6.966614,4,0.04,9,900,18.90098,0.1890098
7.280937,4,0.04,10,1000,16.24118,0.1624118
7.59626,4,0.04,11,1100,14.06992,0.1406992
7.904587,4,0.04,12,1200,12.26266,0.1226266
8.131683,5,0.05,1,100,-0.4547758,-0.004547758
8.411758,5,0.05,2,200,10.04638,0.1004638
8.759666,5,0.05,3,300,22.66027,0.2266027
9.146202,5,0.05,4,400,33.8066,0.338066
9.526054,5,0.05,5,500,32.73329,0.3273329
9.890404,5,0.05,6,600,26.31003,0.2631003
10.2254,5,0.05,7,700,20.76104,0.2076104
10.57819,5,0.05,8,800,16.85094,0.1685094
10.89167,5,0.05,9,900,13.87515,0.1387515
11.21947,5,0.05,10,1000,11.63404,0.1163404
11.5605,5,0.05,11,1100,9.818699,0.09818699
11.89112,5,0.05,12,1200,8.374224,0.08374224
12.12239,6,0.06,1,100,-0.474556,-0.00474556
12.42068,6,0.06,2,200,9.516361,0.09516361
12.78436,6,0.06,3,300,21.31243,0.2131243
13.1557,6,0.06,4,400,29.78955,0.2978955
13.55503,6,0.06,5,500,27.09507,0.2709507
13.90281,6,0.06,6,600,20.8679,0.208679
14.2345,6,0.06,7,700,16.22214,0.1622214
14.55031,6,0.06,8,800,12.54891,0.1254891
14.86447,6,0.06,9,900,10.13491,0.1013491
15.19117,6,0.06,10,1000,8.206148,0.08206148
15.49886,6,0.06,11,1100,6.745701,0.06745701
